40 500
1 35 36
1 39 40
0 11 44
0 34 -68
1 9 17
0 23 -32
0 29 28
1 17 28
0 23 47
1 27 40
0 26 99
0 38 -54
1 27 29
0 31 32
1 34 38
1 15 23
0 4 7
1 14 19
1 9 11
0 17 -37
0 31 -16
1 30 38
1 37 37
0 27 -69
1 36 39
0 24 -12
1 37 37
0 2 -99
0 20 12
0 6 -88
1 4 10
0 9 83
1 32 36
0 35 -65
0 30 52
1 8 18
1 28 39
0 33 76
1 7 14
1 33 36
1 16 28
0 18 10
0 30 22
1 27 33
1 22 31
1 37 39
1 2 14
1 10 22
0 4 79
0 39 -30
1 29 38
1 7 26
0 12 -37
0 16 25
1 1 26
0 25 -79
0 20 -36
1 19 31
0 3 -64
1 9 34
1 8 12
1 38 40
0 18 59
0 17 -54
1 4 39
1 8 14
1 26 36
1 22 40
1 12 32
0 13 -4
1 30 39
1 31 36
1 4 27
0 34 77
0 6 67
1 17 31
1 24 26
0 37 -88
0 32 35
1 29 34
0 20 -48
1 10 35
0 34 15
0 1 56
0 31 -77
0 8 25
0 21 -43
0 21 14
0 24 18
0 38 68
0 31 -52
0 8 -70
1 11 24
0 25 66
1 2 12
0 7 -5
1 6 38
0 15 -43
0 17 -75
1 2 3
1 3 10
1 2 36
0 33 -89
0 28 34
0 1 98
0 38 -61
0 38 -62
0 6 -24
0 32 -15
0 35 -45
1 38 39
1 23 36
1 15 37
0 25 18
0 9 45
1 26 32
1 24 25
0 29 41
1 27 35
1 29 36
1 39 40
0 5 -50
1 39 39
0 38 74
0 8 -50
1 1 33
0 17 -6
1 8 18
0 8 97
0 6 74
1 15 18
1 20 34
1 20 32
1 16 22
0 24 -57
0 35 -2
1 29 36
1 33 36
1 32 33
1 28 36
1 32 36
0 35 98
0 28 100
0 19 -96
1 10 12
1 6 15
0 28 -7
0 28 28
0 4 -80
1 26 31
1 29 34
1 23 37
0 39 -98
0 34 -71
1 32 35
1 18 20
1 0 13
1 13 33
1 21 24
0 18 -35
0 17 2
0 23 -4
1 26 39
0 24 97
0 21 65
1 18 40
1 28 34
0 27 83
0 25 -66
0 4 47
1 14 18
0 4 -82
1 37 40
1 11 22
1 1 1
1 23 39
0 26 -60
1 28 39
0 4 53
1 33 39
1 27 37
0 9 -98
0 38 11
0 36 2
1 39 39
0 6 -61
0 30 -75
0 22 25
0 20 22
1 15 18
1 8 29
1 28 35
0 2 1
0 7 62
1 11 33
1 32 35
1 24 39
1 39 40
0 16 50
1 12 33
1 13 20
1 26 39
0 33 5
0 2 -60
0 2 37
0 10 64
1 11 35
0 10 73
1 2 30
1 14 39
0 38 -31
1 4 29
0 7 -22
1 3 28
0 12 -24
1 31 36
0 16 -6
1 10 26
0 9 -62
1 4 10
0 38 -89
1 3 7
1 2 20
0 20 -6
1 14 18
0 4 20
0 18 -76
0 33 -79
1 35 39
0 33 -27
1 12 26
0 3 3
0 39 -76
0 1 98
0 37 11
1 11 27
1 27 29
0 25 100
0 27 -16
0 38 95
1 17 37
0 9 -41
0 18 28
0 37 35
1 18 36
1 29 33
0 13 -32
0 0 47
1 7 28
1 10 33
1 31 35
1 26 31
0 39 -45
0 31 84
0 31 89
0 28 55
0 2 85
1 25 39
1 27 31
1 26 37
1 30 32
0 23 52
1 38 39
0 9 96
0 37 98
0 18 75
0 32 -54
0 25 27
1 30 35
0 3 -62
1 34 37
0 28 27
0 11 -2
0 6 -1
1 28 33
1 24 36
1 1 33
1 24 32
0 17 0
1 12 31
1 19 30
1 15 28
1 1 2
1 32 35
0 29 31
0 17 -51
1 2 5
1 37 39
1 20 38
0 28 -15
0 0 -53
1 26 39
0 14 -11
0 0 -51
1 23 34
0 12 10
0 8 81
1 33 35
1 37 40
1 21 34
1 38 39
1 8 14
0 31 -14
1 16 29
1 27 34
0 20 -100
0 33 -63
0 11 -88
1 27 36
0 19 52
1 25 34
1 18 34
0 9 -55
0 29 -86
1 29 33
0 22 19
0 7 -53
0 2 -83
0 12 33
1 5 34
1 9 11
0 16 -2
0 8 -90
1 19 39
1 31 39
0 12 60
1 20 33
0 6 82
0 38 -38
0 16 -53
1 5 5
